Date,Open,High,Low,Close,Volume,Adj Close
2016-02-02,1.70,1.78,1.555,1.65,27400,1.65
2016-02-01,1.75,1.75,1.61,1.68,12300,1.68
2016-01-29,1.75,1.84,1.56,1.78,131900,1.78
2016-01-28,1.59,1.60,1.45,1.56,26900,1.56
2016-01-27,1.54,1.69,1.40,1.46,54300,1.46
2016-01-26,1.53,1.58,1.50,1.55,5100,1.55
2016-01-25,1.60,1.71,1.47,1.54,127300,1.54
2016-01-22,1.62,1.71,1.60,1.63,205100,1.63
2016-01-21,1.43,1.74,1.43,1.62,149300,1.62
2016-01-20,1.47,1.49,1.44,1.45,49500,1.45
2016-01-19,1.47,1.73,1.46,1.471,42100,1.471
2016-01-15,1.52,1.64,1.50,1.50,39400,1.50
2016-01-14,1.48,1.67,1.46,1.56,96600,1.56
2016-01-13,1.56,1.57,1.46,1.47,47500,1.47
2016-01-12,1.73,1.79,1.59,1.59,86300,1.59
2016-01-11,1.44,1.95,1.43,1.95,154700,1.95
2016-01-08,1.549,1.58,1.43,1.49,56600,1.49
2016-01-07,1.44,1.549,1.43,1.50,58700,1.50
2016-01-06,1.42,1.58,1.42,1.48,124200,1.48
2016-01-05,1.58,1.58,1.42,1.42,24300,1.42
2016-01-04,1.57,1.57,1.42,1.55,92500,1.55
2015-12-31,1.46,1.52,1.459,1.52,59100,1.52
2015-12-30,1.59,1.59,1.46,1.50,69800,1.50
2015-12-29,1.60,1.60,1.44,1.50,85600,1.50
2015-12-28,1.65,1.67,1.45,1.47,83800,1.47
2015-12-24,1.89,1.89,1.52,1.57,139400,1.57
2015-12-23,1.48,1.83,1.41,1.75,681200,1.75
2015-12-22,1.39,1.48,1.305,1.48,229300,1.48
2015-12-21,1.551,1.56,1.33,1.39,280500,1.39
2015-12-18,1.60,1.68,1.51,1.56,83300,1.56
2015-12-17,1.77,1.77,1.57,1.61,102500,1.61
2015-12-16,1.65,1.789,1.512,1.58,206600,1.58
2015-12-15,2.05,2.07,1.61,1.81,844400,1.81
2015-12-14,1.86,2.40,1.84,2.23,3907600,2.23
2015-12-11,1.31,2.75,1.24,1.76,8527200,1.76
2015-12-10,1.14,1.15,1.11,1.15,2600,1.15
2015-12-09,1.18,1.24,1.12,1.15,20500,1.15
2015-12-08,1.15,1.162,1.15,1.16,6900,1.16
2015-12-07,1.16,1.20,1.16,1.20,600,1.20
2015-12-04,1.29,1.30,1.18,1.18,2900,1.18
2015-12-03,1.30,1.35,1.14,1.23,60100,1.23
2015-12-02,1.24,1.46,1.24,1.35,21800,1.35
2015-12-01,1.29,1.29,1.17,1.29,27200,1.29
2015-11-30,1.21,1.30,1.15,1.29,24200,1.29
2015-11-27,1.10,1.19,1.086,1.19,6300,1.19
2015-11-25,1.19,1.24,1.10,1.10,18400,1.10
2015-11-24,1.17,1.17,1.13,1.13,2500,1.13
2015-11-23,1.16,1.16,1.13,1.13,5400,1.13
2015-11-20,1.134,1.16,1.12,1.12,36300,1.12
2015-11-19,1.15,1.15,1.12,1.13,800,1.13
2015-11-18,1.12,1.12,1.08,1.08,61200,1.08
2015-11-17,1.14,1.18,1.10,1.18,5400,1.18
2015-11-16,1.10,1.18,1.06,1.18,5100,1.18
2015-11-13,1.121,1.14,1.12,1.14,6100,1.14
2015-11-12,1.19,1.20,1.14,1.19,24100,1.19
2015-11-11,1.12,1.13,1.07,1.12,23700,1.12
2015-11-10,1.19,1.20,1.10,1.19,11300,1.19
2015-11-09,1.15,1.17,1.14,1.16,17700,1.16
2015-11-06,1.03,1.31,0.99,1.14,133100,1.14
2015-11-05,1.174,1.174,1.09,1.11,2300,1.11
2015-11-04,1.20,1.25,1.00,1.20,54200,1.20
2015-11-03,1.054,1.14,1.054,1.14,51500,1.14
2015-11-02,1.12,1.15,1.02,1.06,10900,1.06
2015-10-30,1.08,1.12,1.07,1.07,9700,1.07
2015-10-29,1.05,1.37,1.00,1.15,129800,1.15
2015-10-28,1.118,1.155,1.05,1.05,13300,1.05
2015-10-27,1.04,1.135,1.04,1.10,32800,1.10
2015-10-26,1.09,1.097,1.01,1.05,13000,1.05
2015-10-23,1.01,1.16,1.01,1.04,29200,1.04
2015-10-22,1.10,1.116,1.00,1.05,10500,1.05
2015-10-21,1.16,1.20,1.10,1.10,16200,1.10
2015-10-20,1.26,1.26,1.15,1.15,15900,1.15
2015-10-19,1.17,1.22,1.17,1.21,20600,1.21
2015-10-16,1.16,1.65,1.16,1.22,85400,1.22
2015-10-15,1.25,1.29,1.18,1.21,19600,1.21
2015-10-14,1.30,1.36,1.16,1.16,28200,1.16
2015-10-13,1.30,1.30,1.16,1.25,6000,1.25
2015-10-12,1.18,1.236,1.16,1.203,6500,1.203
2015-10-09,1.29,1.30,1.18,1.19,26100,1.19
2015-10-08,1.35,1.35,1.08,1.20,95800,1.20
2015-10-07,1.27,1.32,1.24,1.28,40800,1.28
2015-10-06,1.18,1.222,1.18,1.22,39800,1.22
2015-10-05,1.19,1.239,1.13,1.16,18600,1.16
2015-10-02,1.091,1.16,1.08,1.13,35600,1.13
2015-10-01,1.10,1.10,1.05,1.094,12000,1.094
2015-09-30,1.02,1.14,0.98,1.03,22400,1.03
2015-09-29,1.01,1.15,0.91,1.05,60500,1.05
2015-09-28,1.43,1.43,1.06,1.08,43200,1.08
2015-09-25,1.45,1.45,1.38,1.43,10800,1.43
2015-09-24,1.47,1.50,1.42,1.43,45700,1.43
2015-09-23,1.59,1.649,1.38,1.50,23000,1.50
2015-09-22,1.66,1.66,1.50,1.50,30200,1.50
2015-09-21,1.60,1.70,1.52,1.60,44900,1.60
2015-09-18,1.68,1.75,1.50,1.50,83400,1.50
2015-09-17,1.85,1.85,1.68,1.68,53600,1.68
2015-09-16,1.95,1.95,1.72,1.84,63300,1.84
2015-09-15,2.15,2.15,1.70,1.80,89800,1.80
2015-09-14,1.95,2.25,1.85,2.01,228400,2.01
2015-09-11,1.49,1.89,1.49,1.87,51800,1.87
2015-09-10,1.56,1.56,1.40,1.46,31700,1.46
2015-09-09,1.61,1.61,1.46,1.52,23200,1.52
2015-09-08,1.65,1.66,1.461,1.49,43500,1.49
2015-09-04,1.48,1.55,1.40,1.45,31700,1.45
2015-09-03,1.50,1.50,1.28,1.43,16200,1.43
2015-09-02,1.45,1.45,1.33,1.39,8100,1.39
2015-09-01,1.44,1.45,1.253,1.33,15100,1.33
2015-08-31,1.45,1.47,1.38,1.42,5800,1.42
2015-08-28,1.49,1.49,1.30,1.33,15700,1.33
2015-08-27,1.42,1.47,1.304,1.47,41300,1.47
2015-08-26,1.743,1.743,1.20,1.42,111700,1.42
2015-08-25,1.79,1.79,1.51,1.67,14900,1.67
2015-08-24,1.65,1.65,1.39,1.63,68300,1.63
2015-08-21,1.692,1.80,1.50,1.80,15300,1.80
2015-08-20,1.74,1.74,1.61,1.70,4300,1.70
2015-08-19,1.75,1.77,1.56,1.62,62100,1.62
2015-08-18,1.85,1.85,1.65,1.77,36300,1.77
2015-08-17,1.87,1.87,1.60,1.85,60200,1.85
2015-08-14,1.85,1.88,1.62,1.87,4700,1.87
2015-08-13,1.98,1.98,1.80,1.85,13000,1.85
2015-08-12,1.60,1.88,1.56,1.85,23800,1.85
2015-08-11,1.57,1.77,1.48,1.77,32900,1.77
2015-08-10,1.81,1.85,1.40,1.67,22800,1.67
2015-08-07,1.95,1.95,1.83,1.83,22600,1.83
2015-08-06,2.07,2.20,1.83,1.95,174400,1.95
2015-08-05,2.21,2.22,2.05,2.12,46600,2.12
2015-08-04,2.21,2.22,2.15,2.21,11300,2.21
2015-08-03,2.25,2.25,2.15,2.15,10600,2.15
2015-07-31,2.26,2.26,2.13,2.18,13700,2.18
2015-07-30,2.34,2.34,2.10,2.27,92000,2.27
2015-07-29,2.25,2.28,2.06,2.06,9400,2.06
2015-07-28,2.18,2.40,2.03,2.18,73000,2.18
2015-07-27,2.10,2.49,2.00,2.12,57300,2.12
2015-07-24,2.03,2.05,2.00,2.05,34700,2.05
2015-07-23,2.30,2.31,1.82,1.97,52600,1.97
2015-07-22,2.25,2.25,2.25,2.25,500,2.25
2015-07-21,2.20,2.31,2.11,2.22,46500,2.22
2015-07-20,2.20,2.25,2.16,2.16,17600,2.16
2015-07-17,2.20,2.57,2.20,2.21,27200,2.21
2015-07-16,2.436,2.436,2.16,2.23,44900,2.23
2015-07-15,2.51,2.51,2.255,2.34,33500,2.34
2015-07-14,2.65,2.65,2.25,2.34,33600,2.34
2015-07-13,2.75,2.75,2.45,2.53,15000,2.53
2015-07-10,2.30,2.70,2.21,2.50,42800,2.50
2015-07-09,2.21,2.45,2.21,2.45,16800,2.45
2015-07-08,2.20,2.33,2.20,2.33,1500,2.33
2015-07-07,2.50,2.50,2.25,2.36,14600,2.36
2015-07-06,2.32,2.49,2.10,2.35,58300,2.35
2015-07-02,2.42,2.42,2.19,2.34,37200,2.34
2015-07-01,2.55,2.56,2.517,2.55,3700,2.55
2015-06-30,2.70,2.70,2.56,2.56,14200,2.56
2015-06-29,2.70,2.70,2.52,2.60,13000,2.60
2015-06-26,2.70,2.70,2.55,2.70,122900,2.70
2015-06-25,2.75,2.85,2.51,2.65,378700,2.65
2015-06-24,3.25,3.54,3.25,3.25,1600,3.25
2015-06-23,3.49,3.49,3.25,3.25,1500,3.25
2015-06-22,3.25,3.25,3.25,3.25,1100,3.25
2015-06-19,3.25,3.25,3.25,3.25,000,3.25
2015-06-18,3.16,3.25,3.16,3.25,1900,3.25
2015-06-17,3.05,3.74,3.00,3.20,4600,3.20
2015-06-16,4.00,4.00,3.60,4.00,1300,4.00
2015-06-15,4.50,4.50,3.50,3.75,3500,3.75
2015-06-12,4.50,4.50,4.50,4.50,1000,4.50
2015-06-11,4.50,4.50,4.50,4.50,300,4.50
2015-06-10,4.50,4.50,4.40,4.48,6500,4.48
2015-06-09,3.50,4.00,3.50,4.00,12100,4.00
